"Meddržavne selitve po državi državljanstva in spolu, Slovenija, letno"

"SELITVE";"DRŽAVA DRŽAVLJANSTVA";"2000 Moški";"2000 Ženske";"2001 Moški";"2001 Ženske";"2002 Moški";"2002 Ženske";"2003 Moški";"2003 Ženske";"2004 Moški";"2004 Ženske";"2005 Moški";"2005 Ženske";"2006 Moški";"2006 Ženske";"2007 Moški";"2007 Ženske";"2008 Moški";"2008 Ženske";"2009 Moški";"2009 Ženske";"2010 Moški";"2010 Ženske";"2011 Moški";"2011 Ženske";"2012 Moški";"2012 Ženske";"2013 Moški";"2013 Ženske";"2014 Moški";"2014 Ženske";"2015 Moški";"2015 Ženske";"2016 Moški";"2016 Ženske";"2017 Moški";"2017 Ženske";"2018 Moški";"2018 Ženske";"2019 Moški";"2019 Ženske";"2020 Moški";"2020 Ženske"
"Odseljeni v tujino";"  Albanija";16;6;9;3;21;8;17;11;18;1;15;1;13;2;8;4;2;1;9;1;8;3;9;4;5;3;1;6;3;4;3;0;3;5;3;7;6;1;4;7;3;4
"Odseljeni v tujino";"  Avstrija";11;12;4;0;4;5;13;6;51;30;21;11;52;32;63;39;41;22;51;20;54;33;40;16;46;17;47;21;40;17;39;18;32;19;37;23;22;17;33;17;42;28
"Odseljeni v tujino";"  Belgija";1;0;4;3;0;8;10;3;7;2;5;4;8;6;5;2;5;2;9;4;8;4;8;4;3;5;13;7;5;2;14;3;6;2;5;5;5;1;5;2;13;4
"Odseljeni v tujino";"  Bolgarija";69;4;18;3;2;5;5;7;60;6;32;2;19;11;122;6;107;23;328;54;246;65;267;70;381;101;331;93;358;106;445;79;417;108;430;89;389;82;390;82;515;146
"Odseljeni v tujino";"  Bosna in Hercegovina";289;49;523;182;987;336;419;211;1337;245;2191;160;3617;241;3656;602;2756;260;6150;508;3924;515;2267;359;1593;309;1068;319;1107;404;1137;416;1453;453;1704;448;1648;438;2415;447;3827;615
"Odseljeni v tujino";"  Èeška republika";6;20;9;11;6;6;10;15;12;15;3;11;9;19;12;35;7;17;9;12;9;14;15;17;12;17;11;10;9;10;10;23;15;13;7;14;6;5;11;14;3;8
"Odseljeni v tujino";"  Èrna gora";...;...;...;...;...;...;...;...;...;...;...;...;...;...;8;7;14;8;38;23;30;27;24;13;19;16;18;20;12;17;21;10;28;18;24;15;25;18;29;12;39;19
"Odseljeni v tujino";"  Danska";0;0;4;1;0;0;8;3;9;3;2;1;5;3;11;4;0;0;5;3;3;1;4;2;0;1;3;1;1;0;8;2;3;2;2;0;1;3;3;4;3;3
"Odseljeni v tujino";"  Francija";27;9;15;7;9;8;15;11;54;35;18;18;65;30;87;35;36;25;26;19;44;31;33;19;28;12;38;22;42;21;36;19;32;22;32;19;19;11;44;9;19;23
"Odseljeni v tujino";"  Hrvaška";259;51;439;150;567;212;621;310;340;167;580;138;652;268;684;469;367;188;529;222;565;263;414;168;416;211;547;196;696;248;530;229;519;219;586;232;670;203;627;227;729;280
"Odseljeni v tujino";"  Italija";30;11;36;25;12;3;1;1;25;18;20;2;63;24;111;49;101;36;123;50;110;61;116;64;115;62;138;63;186;77;176;82;235;90;264;97;205;66;190;111;289;113
"Odseljeni v tujino";"  Kosovo";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;78;6;1381;182;1639;181;781;170;514;168;250;149;231;178;283;233;467;342;582;386;500;309;537;281;809;306
"Odseljeni v tujino";"  Madžarska";1;3;9;1;14;12;10;10;10;13;3;5;56;12;5;21;22;16;35;17;24;13;64;17;21;12;28;27;38;24;56;17;68;26;84;24;105;21;74;22;117;40
"Odseljeni v tujino";"  Nemèija";10;13;25;4;2;0;11;10;78;43;8;2;65;35;112;63;73;54;70;53;90;46;50;46;58;34;72;52;51;31;72;40;40;25;66;28;35;26;39;29;54;32
"Odseljeni v tujino";"  Nizozemska";4;2;11;8;5;4;15;5;16;5;7;0;9;10;16;7;16;9;8;4;17;8;15;2;8;3;17;1;5;1;5;1;5;6;11;4;6;6;12;2;15;6
"Odseljeni v tujino";"  Poljska";1;5;32;1;2;2;5;10;8;10;43;4;79;38;53;26;26;17;27;20;23;17;10;11;14;23;22;20;26;16;56;13;9;9;14;20;20;17;8;18;10;13
"Odseljeni v tujino";"  Romunija";11;18;31;4;0;1;20;11;87;48;189;103;176;110;98;40;22;24;79;32;18;30;37;24;38;24;35;21;124;23;96;18;57;28;87;18;34;16;33;15;58;24
"Odseljeni v tujino";"  Ruska federacija";20;27;36;0;48;64;26;76;6;41;20;15;14;28;19;42;12;37;25;34;18;23;24;25;26;31;26;26;40;54;85;76;103;82;138;116;90;74;79;82;86;90
"Odseljeni v tujino";"  Severna Makedonija";225;34;784;0;988;281;791;411;886;52;547;33;1109;110;1260;291;630;176;1477;243;1079;280;512;164;391;172;306;173;245;215;236;173;234;172;257;200;228;157;324;205;457;270
"Odseljeni v tujino";"  Slovenija";806;753;743;699;1286;1338;952;935;1243;1022;982;1095;1315;1388;1523;1655;2316;2450;1984;1733;2064;1841;2510;2169;4214;3977;4059;3730;4376;3753;4691;3963;4685;4133;5217;4654;3487;3108;3532;3066;2986;2825
