"TIME","GEO","AGE","AGEDEF","UNIT","SEX","Value","Flag and Footnotes"
"2006","Belgium","Total","Age reached during the year","Number","Total","88,163",""
"2006","Belgium","Total","Age reached during the year","Number","Males","51,357",""
"2006","Belgium","Total","Age reached during the year","Number","Females","36,806",""
"2006","Bulgaria","Total","Age reached during the year","Number","Total",":",""
"2006","Bulgaria","Total","Age reached during the year","Number","Males",":",""
"2006","Bulgaria","Total","Age reached during the year","Number","Females",":",""
"2006","Czechia","Total","Age reached during the year","Number","Total","33,463",""
"2006","Czechia","Total","Age reached during the year","Number","Males","20,355",""
"2006","Czechia","Total","Age reached during the year","Number","Females","13,108",""
"2006","Denmark","Total","Age reached during the year","Number","Total","46,786",""
"2006","Denmark","Total","Age reached during the year","Number","Males","24,826",""
"2006","Denmark","Total","Age reached during the year","Number","Females","21,960",""
"2006","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","Number","Total","639,064",""
"2006","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","Number","Males","394,072",""
"2006","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","Number","Females","244,992",""
"2006","Estonia","Total","Age reached during the year","Number","Total","5,527",""
"2006","Estonia","Total","Age reached during the year","Number","Males","2,524",""
"2006","Estonia","Total","Age reached during the year","Number","Females","3,003",""
"2006","Ireland","Total","Age reached during the year","Number","Total","44,409","b"
"2006","Ireland","Total","Age reached during the year","Number","Males","24,266","b"
"2006","Ireland","Total","Age reached during the year","Number","Females","20,143","b"
"2006","Greece","Total","Age reached during the year","Number","Total","38,368",""
"2006","Greece","Total","Age reached during the year","Number","Males",":",""
"2006","Greece","Total","Age reached during the year","Number","Females",":",""
"2006","Spain","Total","Age reached during the year","Number","Total","142,296",""
"2006","Spain","Total","Age reached during the year","Number","Males","82,151",""
"2006","Spain","Total","Age reached during the year","Number","Females","60,145",""
"2006","France","Total","Age reached during the year","Number","Total","189,403","b"
"2006","France","Total","Age reached during the year","Number","Males","85,457","b"
"2006","France","Total","Age reached during the year","Number","Females","103,946","b"
"2006","Croatia","Total","Age reached during the year","Number","Total","7,692",""
"2006","Croatia","Total","Age reached during the year","Number","Males","3,840",""
"2006","Croatia","Total","Age reached during the year","Number","Females","3,852",""
"2006","Italy","Total","Age reached during the year","Number","Total","58,407",""
"2006","Italy","Total","Age reached during the year","Number","Males","31,781",""
"2006","Italy","Total","Age reached during the year","Number","Females","26,626",""
"2006","Cyprus","Total","Age reached during the year","Number","Total","2,778",""
"2006","Cyprus","Total","Age reached during the year","Number","Males",":",""
"2006","Cyprus","Total","Age reached during the year","Number","Females",":",""
"2006","Latvia","Total","Age reached during the year","Number","Total","17,019",""
"2006","Latvia","Total","Age reached during the year","Number","Males","7,887",""
"2006","Latvia","Total","Age reached during the year","Number","Females","9,132",""
"2006","Lithuania","Total","Age reached during the year","Number","Total","32,390",""
"2006","Lithuania","Total","Age reached during the year","Number","Males","17,253",""
"2006","Lithuania","Total","Age reached during the year","Number","Females","15,137",""
"2006","Luxembourg","Total","Age reached during the year","Number","Total","9,001",""
"2006","Luxembourg","Total","Age reached during the year","Number","Males","5,120",""
"2006","Luxembourg","Total","Age reached during the year","Number","Females","3,881",""
"2006","Hungary","Total","Age reached during the year","Number","Total","4,314","p"
"2006","Hungary","Total","Age reached during the year","Number","Males","2,681","p"
"2006","Hungary","Total","Age reached during the year","Number","Females","1,633","p"
"2006","Malta","Total","Age reached during the year","Number","Total",":",""
"2006","Malta","Total","Age reached during the year","Number","Males",":",""
"2006","Malta","Total","Age reached during the year","Number","Females",":",""
"2006","Netherlands","Total","Age reached during the year","Number","Total","91,028",""
"2006","Netherlands","Total","Age reached during the year","Number","Males","47,489",""
"2006","Netherlands","Total","Age reached during the year","Number","Females","43,539",""
"2006","Austria","Total","Age reached during the year","Number","Total","74,432",""
"2006","Austria","Total","Age reached during the year","Number","Males","43,981",""
"2006","Austria","Total","Age reached during the year","Number","Females","30,451",""
