"Odseljeni prebivalci, stari 15 ali veè let, po izobrazbi, starostnih skupinah, spolu in državljanstvu, Slovenija, letno"

"SPOL";"STAROSTNE SKUPINE";"2011 Državljani RS Osnovnošolska ali manj";"2011 Državljani RS Srednješolska";"2011 Državljani RS Višješolska, visokošolska";"2011 Tuji državljani Osnovnošolska ali manj";"2011 Tuji državljani Srednješolska";"2011 Tuji državljani Višješolska, visokošolska";"2012 Državljani RS Osnovnošolska ali manj";"2012 Državljani RS Srednješolska";"2012 Državljani RS Višješolska, visokošolska";"2012 Tuji državljani Osnovnošolska ali manj";"2012 Tuji državljani Srednješolska";"2012 Tuji državljani Višješolska, visokošolska";"2013 Državljani RS Osnovnošolska ali manj";"2013 Državljani RS Srednješolska";"2013 Državljani RS Višješolska, visokošolska";"2013 Tuji državljani Osnovnošolska ali manj";"2013 Tuji državljani Srednješolska";"2013 Tuji državljani Višješolska, visokošolska";"2014 Državljani RS Osnovnošolska ali manj";"2014 Državljani RS Srednješolska";"2014 Državljani RS Višješolska, visokošolska";"2014 Tuji državljani Osnovnošolska ali manj";"2014 Tuji državljani Srednješolska";"2014 Tuji državljani Višješolska, visokošolska";"2015 Državljani RS Osnovnošolska ali manj";"2015 Državljani RS Srednješolska";"2015 Državljani RS Višješolska, visokošolska";"2015 Tuji državljani Osnovnošolska ali manj";"2015 Tuji državljani Srednješolska";"2015 Tuji državljani Višješolska, visokošolska";"2016 Državljani RS Osnovnošolska ali manj";"2016 Državljani RS Srednješolska";"2016 Državljani RS Višješolska, visokošolska";"2016 Tuji državljani Osnovnošolska ali manj";"2016 Tuji državljani Srednješolska";"2016 Tuji državljani Višješolska, visokošolska";"2017 Državljani RS Osnovnošolska ali manj";"2017 Državljani RS Srednješolska";"2017 Državljani RS Višješolska, visokošolska";"2017 Tuji državljani Osnovnošolska ali manj";"2017 Tuji državljani Srednješolska";"2017 Tuji državljani Višješolska, visokošolska";"2018 Državljani RS Osnovnošolska ali manj";"2018 Državljani RS Srednješolska";"2018 Državljani RS Višješolska, visokošolska";"2018 Tuji državljani Osnovnošolska ali manj";"2018 Tuji državljani Srednješolska";"2018 Tuji državljani Višješolska, visokošolska";"2019 Državljani RS Osnovnošolska ali manj";"2019 Državljani RS Srednješolska";"2019 Državljani RS Višješolska, visokošolska";"2019 Tuji državljani Osnovnošolska ali manj";"2019 Tuji državljani Srednješolska";"2019 Tuji državljani Višješolska, visokošolska";"2020 Državljani RS Osnovnošolska ali manj";"2020 Državljani RS Srednješolska";"2020 Državljani RS Višješolska, visokošolska";"2020 Tuji državljani Osnovnošolska ali manj";"2020 Tuji državljani Srednješolska";"2020 Tuji državljani Višješolska, visokošolska"
"Moški";"15-19";67;10;0;67;4;0;179;3;0;79;5;0;143;3;0;71;5;0;120;11;0;91;9;0;148;11;0;87;10;0;145;13;0;120;16;0;164;18;0;121;16;0;126;9;0;95;13;0;145;10;0;125;13;0;102;4;0;160;16;0
"Moški";"20-24";67;75;2;302;388;3;93;111;11;162;277;2;111;158;7;109;208;19;90;174;28;140;195;15;94;182;36;135;173;26;102;231;43;117;190;16;130;263;51;114;284;27;101;183;41;108;292;22;70;191;39;157;458;26;74;143;25;262;938;43
"Moški";"25-29";47;126;40;448;456;42;89;225;90;278;402;45;95;286;98;171;355;52;97;324;186;181;371;55;70;394;259;139;327;59;84;394;276;150;375;65;65;403;293;141;446;72;58;268;214;124;399;70;61;230;179;176;548;86;53;149;145;304;974;99
"Moški";"30-34";49;156;82;361;413;46;88;287;149;255;362;38;70;293;153;187;319;50;67;344;210;153;339;68;61;387;232;166;367;48;62;423;229;136;445;56;68;415;258;166;552;79;45;275;154;131;490;71;40;262;136;147;641;76;23;217;106;283;921;78
"Moški";"35-39";55;144;65;289;323;30;85;271;112;193;300;41;65;280;139;160;276;47;75;284;148;167;299;28;67;315;151;139;331;48;63;305;142;134;369;52;67;318;201;161;493;57;33;243;112;140;478;52;36;233;114;144;593;59;30;187;99;267;818;68
"Moški";"40-44";39;139;47;240;366;32;81;211;80;162;295;32;51;220;89;113;249;28;63;224;88;134;275;28;71;257;92;133;301;34;54;237;109;114;328;51;43;272;141;146;432;59;36;191;95;136;363;57;40;212;79;134;523;45;27;155;81;265;763;55
"Moški";"45-49";51;117;30;191;335;23;79;229;55;149;298;34;52;188;46;99;223;26;50;218;47;108;263;29;56;187;58;101;288;27;40;207;53;102;294;32;42;223;82;119;395;54;29;144;44;108;350;41;47;155;60;124;457;45;18;130;61;196;598;41
"Moški";"50-54";41;104;28;136;248;21;59;159;52;99;200;17;51;152;46;72;184;19;44;135;36;69;213;23;34;176;36;80;222;21;28;205;41;82;260;25;31;183;57;85;314;30;14;124;31;88;310;28;29;135;35;83;359;26;30;103;41;140;488;32
"Moški";"55-59";48;91;29;113;161;16;66;125;36;90;146;17;55;125;41;72;153;16;39;115;28;87;155;15;30;105;25;72;180;22;22;86;24;53;187;24;34;123;46;61;208;19;28;85;27;51;200;21;19;96;26;65;263;18;15;96;29;73;323;27
"Moški";"60-64";36;96;25;114;94;13;72;137;46;90;87;15;54;101;33;83;100;14;48;95;29;106;118;18;38;58;32;101;115;12;27;75;15;99;152;15;41;96;27;84;142;14;22;51;15;77;138;13;26;57;24;82;206;19;18;62;21;57;231;28
