PLAČA;STATISTIČNA REGIJA;STAROST;SPOL;Povprečje 2011;Povprečje 2012;Povprečje 2013;Povprečje 2014;Povprečje 2015;Povprečje 2016;Povprečje 2017;Povprečje 2018;Povprečje 2019;Povprečje 2020
Bruto;SLOVENIJA;Starost - SKUPAJ;Spol - SKUPAJ;1582;1601;1598;1637;1652;1686;1722;1778;1851;1942
Bruto;Pomurska;Starost - SKUPAJ;Spol - SKUPAJ;1385;1391;1380;1446;1447;1473;1508;1556;1649;1730
Bruto;Podravska;Starost - SKUPAJ;Spol - SKUPAJ;1471;1489;1487;1518;1529;1549;1602;1658;1733;1826
Bruto;Koroška;Starost - SKUPAJ;Spol - SKUPAJ;1451;1465;1468;1503;1539;1572;1616;1666;1718;1797
Bruto;Savinjska;Starost - SKUPAJ;Spol - SKUPAJ;1440;1463;1470;1507;1517;1540;1580;1629;1681;1758
Bruto;Zasavska;Starost - SKUPAJ;Spol - SKUPAJ;1519;1505;1506;1505;1469;1502;1535;1583;1650;1735
Bruto;Posavska;Starost - SKUPAJ;Spol - SKUPAJ;1455;1481;1474;1517;1519;1564;1596;1656;1714;1830
Bruto;Jugovzhodna;Starost - SKUPAJ;Spol - SKUPAJ;1539;1565;1561;1620;1636;1660;1687;1749;1830;1933
Bruto;Osrednjeslovenska;Starost - SKUPAJ;Spol - SKUPAJ;1784;1795;1781;1816;1840;1880;1910;1966;2055;2160
Bruto;Gorenjska;Starost - SKUPAJ;Spol - SKUPAJ;1505;1543;1560;1603;1627;1663;1701;1761;1797;1866
Bruto;Primorsko-notranjska;Starost - SKUPAJ;Spol - SKUPAJ;1352;1374;1373;1401;1418;1455;1494;1540;1598;1684
Bruto;Goriška;Starost - SKUPAJ;Spol - SKUPAJ;1519;1525;1511;1545;1546;1599;1619;1669;1736;1791
Bruto;Obalno-kraška;Starost - SKUPAJ;Spol - SKUPAJ;1563;1580;1579;1626;1640;1680;1697;1745;1826;1885
