"TIME","GEO","AGEDEF","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2006","Belgium","Age reached during the year","Total","Number","Total","137,699",""
"2006","Belgium","Age reached during the year","Total","Number","Males","75,299",""
"2006","Belgium","Age reached during the year","Total","Number","Females","62,400",""
"2006","Bulgaria","Age reached during the year","Total","Number","Total",":",""
"2006","Bulgaria","Age reached during the year","Total","Number","Males",":",""
"2006","Bulgaria","Age reached during the year","Total","Number","Females",":",""
"2006","Czechia","Age reached during the year","Total","Number","Total","68,183",""
"2006","Czechia","Age reached during the year","Total","Number","Males","41,985",""
"2006","Czechia","Age reached during the year","Total","Number","Females","26,198",""
"2006","Denmark","Age reached during the year","Total","Number","Total","56,750",""
"2006","Denmark","Age reached during the year","Total","Number","Males","29,354",""
"2006","Denmark","Age reached during the year","Total","Number","Females","27,396",""
"2006","Germany (until 1990 former territory of the FRG)","Age reached during the year","Total","Number","Total","661,855",""
"2006","Germany (until 1990 former territory of the FRG)","Age reached during the year","Total","Number","Males","393,582",""
"2006","Germany (until 1990 former territory of the FRG)","Age reached during the year","Total","Number","Females","268,273",""
"2006","Estonia","Age reached during the year","Total","Number","Total","2,234",""
"2006","Estonia","Age reached during the year","Total","Number","Males","1,216",""
"2006","Estonia","Age reached during the year","Total","Number","Females","1,018",""
"2006","Ireland","Age reached during the year","Total","Number","Total","139,434","b"
"2006","Ireland","Age reached during the year","Total","Number","Males","74,557","b"
"2006","Ireland","Age reached during the year","Total","Number","Females","64,877","b"
"2006","Greece","Age reached during the year","Total","Number","Total","63,094",""
"2006","Greece","Age reached during the year","Total","Number","Males",":",""
"2006","Greece","Age reached during the year","Total","Number","Females",":",""
"2006","Spain","Age reached during the year","Total","Number","Total","840,844",""
"2006","Spain","Age reached during the year","Total","Number","Males","441,825",""
"2006","Spain","Age reached during the year","Total","Number","Females","399,019",""
"2006","France","Age reached during the year","Total","Number","Total","301,544","b"
"2006","France","Age reached during the year","Total","Number","Males","144,395","b"
"2006","France","Age reached during the year","Total","Number","Females","157,149","b"
"2006","Croatia","Age reached during the year","Total","Number","Total","14,978",""
"2006","Croatia","Age reached during the year","Total","Number","Males","8,155",""
"2006","Croatia","Age reached during the year","Total","Number","Females","6,823",""
"2006","Italy","Age reached during the year","Total","Number","Total","279,714",""
"2006","Italy","Age reached during the year","Total","Number","Males","129,313",""
"2006","Italy","Age reached during the year","Total","Number","Females","150,401",""
"2006","Cyprus","Age reached during the year","Total","Number","Total","13,077",""
"2006","Cyprus","Age reached during the year","Total","Number","Males","6,306",""
"2006","Cyprus","Age reached during the year","Total","Number","Females","6,771",""
"2006","Latvia","Age reached during the year","Total","Number","Total","8,212",""
"2006","Latvia","Age reached during the year","Total","Number","Males","4,599",""
"2006","Latvia","Age reached during the year","Total","Number","Females","3,613",""
"2006","Lithuania","Age reached during the year","Total","Number","Total","7,745",""
"2006","Lithuania","Age reached during the year","Total","Number","Males","4,372",""
"2006","Lithuania","Age reached during the year","Total","Number","Females","3,373",""
"2006","Luxembourg","Age reached during the year","Total","Number","Total","14,352",""
"2006","Luxembourg","Age reached during the year","Total","Number","Males","7,797",""
"2006","Luxembourg","Age reached during the year","Total","Number","Females","6,555",""
"2006","Hungary","Age reached during the year","Total","Number","Total","25,732","p"
"2006","Hungary","Age reached during the year","Total","Number","Males","14,300","p"
"2006","Hungary","Age reached during the year","Total","Number","Females","11,432","p"
"2006","Malta","Age reached during the year","Total","Number","Total","3,889",""
"2006","Malta","Age reached during the year","Total","Number","Males","2,755",""
"2006","Malta","Age reached during the year","Total","Number","Females","1,134",""
"2006","Netherlands","Age reached during the year","Total","Number","Total","101,150",""
"2006","Netherlands","Age reached during the year","Total","Number","Males","51,691",""
"2006","Netherlands","Age reached during the year","Total","Number","Females","49,459",""
"2006","Austria","Age reached during the year","Total","Number","Total","98,535",""
"2006","Austria","Age reached during the year","Total","Number","Males","54,298",""
"2006","Austria","Age reached during the year","Total","Number","Females","44,237",""
"2006","Poland","Age reached during the year","Total","Number","Total","10,802",""
"2006","Poland","Age reached during the year","Total","Number","Males","5,938",""
"2006","Poland","Age reached during the year","Total","Number","Females","4,864",""
