"Notranje selitve, statistiène regije, Slovenija, letno"

"REGIJA ODSELITVE";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020"
"iz Pomurske";289;313;337;315;327;342;393;405;3213;2177;2191;2205;2374;2441;2393;2258;2207;2227;2042;1742;2528
"iz Podravske";607;679;695;672;661;737;866;792;6370;4917;5644;5702;6006;5863;6172;6329;6270;5940;5167;5529;6889
"iz Koroške";241;213;260;242;239;318;360;383;2103;1570;1706;1687;1797;1851;1632;1653;1632;1583;1484;1386;2053
"iz Savinjske";723;688;717;736;757;756;938;963;5739;5010;5294;5403;5819;6006;5833;5249;5294;5373;5180;5273;7239
"iz Zasavske";243;288;265;278;268;261;364;381;1112;1060;1111;1049;1246;1187;1078;1583;1519;1556;1463;1297;2123
"iz Posavske";277;275;269;300;317;240;305;344;2040;1585;1695;1830;1899;1999;1937;1958;2097;2068;1946;1912;2578
"iz Jugovzhodne Slovenije";426;483;513;479;494;534;646;713;3503;2929;3195;3521;3775;3681;3772;3445;3464;3400;3289;3212;4649
"iz Osrednjeslovenske";1761;1765;1861;1677;1808;1900;2255;2287;11984;10365;11943;12956;12675;12762;13622;13736;13600;13622;11844;12013;21806
"iz Gorenjske";547;776;746;724;740;829;1012;1123;3535;3353;3561;3642;3939;3877;3929;3813;3626;3740;3382;3268;5398
"iz Primorsko-notranjske";170;217;212;239;212;248;302;342;1700;1387;1503;1516;1505;1525;1453;1474;1437;1586;1417;1317;1900
"iz Goriške";283;322;331;293;359;390;529;554;3480;2756;2519;2865;2842;3088;2674;2637;2650;2804;2426;2328;3250
"iz Obalno-kraške";314;345;369;343;413;449;529;593;2826;2581;3219;3252;3251;3290;3657;3270;3227;3296;2825;2737;4206
