"TIME","GEO","INDIC_DE","UNIT","Value","Flag and Footnotes"
"2006","Belgium","Infant mortality rate","Rate","4.0",""
"2006","Bulgaria","Infant mortality rate","Rate","9.7",""
"2006","Czechia","Infant mortality rate","Rate","3.3",""
"2006","Denmark","Infant mortality rate","Rate","3.5",""
"2006","Germany (until 1990 former territory of the FRG)","Infant mortality rate","Rate","3.8",""
"2006","Estonia","Infant mortality rate","Rate","4.4",""
"2006","Ireland","Infant mortality rate","Rate","3.9",""
"2006","Greece","Infant mortality rate","Rate","3.7",""
"2006","Spain","Infant mortality rate","Rate","3.5",""
"2006","France","Infant mortality rate","Rate","3.8",""
"2006","Croatia","Infant mortality rate","Rate","5.2",""
"2006","Italy","Infant mortality rate","Rate","3.2",""
"2006","Cyprus","Infant mortality rate","Rate","3.1",""
"2006","Latvia","Infant mortality rate","Rate","7.4",""
"2006","Lithuania","Infant mortality rate","Rate","7.2",""
"2006","Luxembourg","Infant mortality rate","Rate","2.5",""
"2006","Hungary","Infant mortality rate","Rate","5.7",""
"2006","Malta","Infant mortality rate","Rate","3.7",""
"2006","Netherlands","Infant mortality rate","Rate","4.4",""
"2006","Austria","Infant mortality rate","Rate","3.6",""
"2006","Poland","Infant mortality rate","Rate","6.0",""
"2006","Portugal","Infant mortality rate","Rate","3.3",""
"2006","Romania","Infant mortality rate","Rate","13.9",""
"2006","Slovenia","Infant mortality rate","Rate","3.4",""
"2006","Slovakia","Infant mortality rate","Rate","6.6",""
"2006","Finland","Infant mortality rate","Rate","2.8",""
"2006","Sweden","Infant mortality rate","Rate","2.8",""
"2006","Iceland","Infant mortality rate","Rate","1.4",""
"2006","Liechtenstein","Infant mortality rate","Rate","5.5",""
"2006","Norway","Infant mortality rate","Rate","3.2",""
"2006","Switzerland","Infant mortality rate","Rate","4.4",""
"2006","United Kingdom","Infant mortality rate","Rate","4.9",""
"2006","Montenegro","Infant mortality rate","Rate","11.0",""
"2007","Belgium","Infant mortality rate","Rate","3.9",""
"2007","Bulgaria","Infant mortality rate","Rate","9.2",""
"2007","Czechia","Infant mortality rate","Rate","3.1",""
"2007","Denmark","Infant mortality rate","Rate","4.0",""
"2007","Germany (until 1990 former territory of the FRG)","Infant mortality rate","Rate","3.9",""
"2007","Estonia","Infant mortality rate","Rate","5.0",""
"2007","Ireland","Infant mortality rate","Rate","3.2",""
"2007","Greece","Infant mortality rate","Rate","3.5",""
"2007","Spain","Infant mortality rate","Rate","3.4",""
"2007","France","Infant mortality rate","Rate","3.8",""
"2007","Croatia","Infant mortality rate","Rate","5.6",""
"2007","Italy","Infant mortality rate","Rate","3.1",""
"2007","Cyprus","Infant mortality rate","Rate","3.7",""
"2007","Latvia","Infant mortality rate","Rate","8.5",""
"2007","Lithuania","Infant mortality rate","Rate","6.3",""
"2007","Luxembourg","Infant mortality rate","Rate","1.8",""
"2007","Hungary","Infant mortality rate","Rate","5.9",""
"2007","Malta","Infant mortality rate","Rate","6.6",""
"2007","Netherlands","Infant mortality rate","Rate","4.1",""
"2007","Austria","Infant mortality rate","Rate","3.7",""
"2007","Poland","Infant mortality rate","Rate","6.0",""
"2007","Portugal","Infant mortality rate","Rate","3.4",""
"2007","Romania","Infant mortality rate","Rate","12.0",""
"2007","Slovenia","Infant mortality rate","Rate","2.8",""
"2007","Slovakia","Infant mortality rate","Rate","6.1",""
"2007","Finland","Infant mortality rate","Rate","2.7",""
"2007","Sweden","Infant mortality rate","Rate","2.5",""
"2007","Iceland","Infant mortality rate","Rate","2.0",""
"2007","Liechtenstein","Infant mortality rate","Rate","0.0",""
"2007","Norway","Infant mortality rate","Rate","3.1",""
"2007","Switzerland","Infant mortality rate","Rate","3.9",""
"2007","United Kingdom","Infant mortality rate","Rate","4.7",""
"2007","Montenegro","Infant mortality rate","Rate","7.4",""
"2008","Belgium","Infant mortality rate","Rate","3.8",""
"2008","Bulgaria","Infant mortality rate","Rate","8.6",""
"2008","Czechia","Infant mortality rate","Rate","2.8",""
"2008","Denmark","Infant mortality rate","Rate","4.0",""
"2008","Germany (until 1990 former territory of the FRG)","Infant mortality rate","Rate","3.5",""
"2008","Estonia","Infant mortality rate","Rate","5.0",""
"2008","Ireland","Infant mortality rate","Rate","3.4",""
"2008","Greece","Infant mortality rate","Rate","2.7",""
"2008","Spain","Infant mortality rate","Rate","3.3",""
"2008","France","Infant mortality rate","Rate","3.8",""
"2008","Croatia","Infant mortality rate","Rate","4.5",""
"2008","Italy","Infant mortality rate","Rate","3.1",""
"2008","Cyprus","Infant mortality rate","Rate","3.5",""
"2008","Latvia","Infant mortality rate","Rate","6.6",""
"2008","Lithuania","Infant mortality rate","Rate","5.5",""
"2008","Luxembourg","Infant mortality rate","Rate","1.8",""
"2008","Hungary","Infant mortality rate","Rate","5.6",""
"2008","Malta","Infant mortality rate","Rate","8.5",""
"2008","Netherlands","Infant mortality rate","Rate","3.8",""
"2008","Austria","Infant mortality rate","Rate","3.7",""
"2008","Poland","Infant mortality rate","Rate","5.6",""
"2008","Portugal","Infant mortality rate","Rate","3.3",""
"2008","Romania","Infant mortality rate","Rate","11.0",""
"2008","Slovenia","Infant mortality rate","Rate","2.4",""
"2008","Slovakia","Infant mortality rate","Rate","5.9",""
"2008","Finland","Infant mortality rate","Rate","2.6",""
"2008","Sweden","Infant mortality rate","Rate","2.5",""
"2008","Iceland","Infant mortality rate","Rate","2.5",""
"2008","Liechtenstein","Infant mortality rate","Rate","0.0",""
"2008","Norway","Infant mortality rate","Rate","2.7",""
"2008","Switzerland","Infant mortality rate","Rate","4.0",""
"2008","United Kingdom","Infant mortality rate","Rate","4.6",""
"2008","Montenegro","Infant mortality rate","Rate","7.5",""
"2009","Belgium","Infant mortality rate","Rate","3.5",""
"2009","Bulgaria","Infant mortality rate","Rate","9.0",""
"2009","Czechia","Infant mortality rate","Rate","2.9",""
"2009","Denmark","Infant mortality rate","Rate","3.1",""
"2009","Germany (until 1990 former territory of the FRG)","Infant mortality rate","Rate","3.5",""
"2009","Estonia","Infant mortality rate","Rate","3.6",""
"2009","Ireland","Infant mortality rate","Rate","3.3",""
"2009","Greece","Infant mortality rate","Rate","3.1",""
"2009","Spain","Infant mortality rate","Rate","3.2",""
"2009","France","Infant mortality rate","Rate","3.9",""
"2009","Croatia","Infant mortality rate","Rate","5.3",""
"2009","Italy","Infant mortality rate","Rate","3.2",""
"2009","Cyprus","Infant mortality rate","Rate","3.3",""
"2009","Latvia","Infant mortality rate","Rate","7.6",""
"2009","Lithuania","Infant mortality rate","Rate","5.6",""
