"TIME","GEO","ICCS","LEG_STAT","SEX","UNIT","Value","Flag and Footnotes"
"2008","Belgium","Intentional homicide","Convicted person","Total","Number",":",""
"2008","Belgium","Rape","Convicted person","Total","Number",":",""
"2008","Belgium","Sexual assault","Convicted person","Total","Number",":",""
"2008","Bulgaria","Intentional homicide","Convicted person","Total","Number","143",""
"2008","Bulgaria","Rape","Convicted person","Total","Number","193",""
"2008","Bulgaria","Sexual assault","Convicted person","Total","Number","162",""
"2008","Czechia","Intentional homicide","Convicted person","Total","Number","136",""
"2008","Czechia","Rape","Convicted person","Total","Number","154",""
"2008","Czechia","Sexual assault","Convicted person","Total","Number","367",""
"2008","Denmark","Intentional homicide","Convicted person","Total","Number","22",""
"2008","Denmark","Rape","Convicted person","Total","Number","203",""
"2008","Denmark","Sexual assault","Convicted person","Total","Number","182",""
"2008","Germany (until 1990 former territory of the FRG)","Intentional homicide","Convicted person","Total","Number",":",""
"2008","Germany (until 1990 former territory of the FRG)","Rape","Convicted person","Total","Number","1,068",""
"2008","Germany (until 1990 former territory of the FRG)","Sexual assault","Convicted person","Total","Number","8,051",""
"2008","Estonia","Intentional homicide","Convicted person","Total","Number",":",""
"2008","Estonia","Rape","Convicted person","Total","Number",":",""
"2008","Estonia","Sexual assault","Convicted person","Total","Number",":",""
"2008","Ireland","Intentional homicide","Convicted person","Total","Number",":",""
"2008","Ireland","Rape","Convicted person","Total","Number",":",""
"2008","Ireland","Sexual assault","Convicted person","Total","Number",":",""
"2008","Greece","Intentional homicide","Convicted person","Total","Number",":",""
"2008","Greece","Rape","Convicted person","Total","Number",":",""
"2008","Greece","Sexual assault","Convicted person","Total","Number",":",""
"2008","Spain","Intentional homicide","Convicted person","Total","Number",":",""
"2008","Spain","Rape","Convicted person","Total","Number",":",""
"2008","Spain","Sexual assault","Convicted person","Total","Number",":",""
"2008","France","Intentional homicide","Convicted person","Total","Number","661",""
"2008","France","Rape","Convicted person","Total","Number","1,496",""
"2008","France","Sexual assault","Convicted person","Total","Number","6,075",""
