"TIME","GEO","SEX","AGE","UNIT","ISCED11","Value","Flag and Footnotes"
"2006","Belgium","Total","From 20 to 29 years","Percentage","All ISCED 2011 levels ","64.0",""
"2006","Belgium","Total","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","51.0",""
"2006","Belgium","Total","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","58.0",""
"2006","Belgium","Total","From 20 to 29 years","Percentage","No response",":","c"
"2006","Belgium","Males","From 20 to 29 years","Percentage","All ISCED 2011 levels ","68.2",""
"2006","Belgium","Males","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","60.9",""
"2006","Belgium","Males","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","64.8",""
"2006","Belgium","Males","From 20 to 29 years","Percentage","No response",":",""
"2006","Belgium","Females","From 20 to 29 years","Percentage","All ISCED 2011 levels ","59.7",""
"2006","Belgium","Females","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","37.5",""
"2006","Belgium","Females","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","50.2",""
"2006","Belgium","Females","From 20 to 29 years","Percentage","No response",":","c"
"2006","Bulgaria","Total","From 20 to 29 years","Percentage","All ISCED 2011 levels ","56.5",""
"2006","Bulgaria","Total","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","34.6","b"
"2006","Bulgaria","Total","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","58.2","b"
"2006","Bulgaria","Total","From 20 to 29 years","Percentage","No response",":",""
"2006","Bulgaria","Males","From 20 to 29 years","Percentage","All ISCED 2011 levels ","62.6",""
"2006","Bulgaria","Males","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","44.6","b"
"2006","Bulgaria","Males","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","64.9","b"
"2006","Bulgaria","Males","From 20 to 29 years","Percentage","No response",":",""
"2006","Bulgaria","Females","From 20 to 29 years","Percentage","All ISCED 2011 levels ","50.1",""
"2006","Bulgaria","Females","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","24.2","b"
"2006","Bulgaria","Females","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","50.0","b"
"2006","Bulgaria","Females","From 20 to 29 years","Percentage","No response",":",""
