statisticna_regija;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
pocitnice;
SLOVENIJA;67;66;65;65;67;66;65;68;69;72;73;76;77
Pomurska;53;54;47;45;51;54;53;60;60;65;61;64;68
Podravska;61;62;60;58;66;61;59;63;66;66;71;75;72
Koroška;62;63;58;61;63;64;58;62;61;64;65;69;65
Savinjska;63;63;62;61;64;62;61;65;68;68;69;72;74
Zasavska;68;56;66;63;62;61;55;56;65;68;69;71;67
Posavska;58;55;54;63;55;56;62;60;63;65;65;69;67
Jugovzhodna Slovenija;56;54;55;57;58;60;60;69;69;73;75;76;78
Osrednjeslovenska;75;76;73;72;74;73;75;77;76;82;81;83;84
Gorenjska;71;73;69;69;70;71;72;71;67;74;76;79;84
Primorsko-notranjska;67;57;60;67;70;65;61;63;68;77;75;73;75
Goriška;72;74;73;71;68;69;67;72;71;74;71;79;83
Obalno-kraška;72;66;68;69;71;65;63;64;67;72;69;74;74
