Regija,2008_bdp,2009_bdp,2010_bdp,2011_bdp,2012_bdp,2013_bdp,2014_bdp,2015_bdp,2016_bdp,2017_bdp,2018_bdp,2019_bdp,2020_bdp
slo,100,100,100,100,100,100,100,100,100,100,100,100,100
ms,3.8,3.8,3.7,3.8,3.9,3.9,3.9,3.8,3.8,3.8,3.8,3.7,3.8
mb,13.3,13.2,13,13,13,13,13.1,12.9,12.8,12.6,12.6,12.7,12.7
sg,2.8,2.7,2.6,2.7,2.8,2.8,2.8,2.8,2.8,2.7,2.8,2.7,2.7
ce,11.2,11,11.2,11.4,11.4,11.3,11.3,11.4,11.4,11.3,11.2,11.1,11
za,1.8,1.8,1.8,1.7,1.7,1.7,1.6,1.5,1.5,1.5,1.4,1.4,1.5
kk,3,3,3,3.1,3.1,3.1,3.1,3.1,3.1,3,3,3.1,3.2
nm,6.7,6.6,6.6,6.6,6.5,6.6,6.6,6.6,6.5,6.7,6.8,6.9,7
lj,35.9,36.8,36.6,36.5,36.9,36.7,36.7,36.6,36.9,36.8,37.1,37.2,38.1
kr,8.4,8.1,8.2,8.2,8.3,8.5,8.7,8.7,8.7,8.8,8.8,8.8,8.4
po,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.8,1.8,1.8,1.7
ng,5.6,5.5,5.4,5.4,5.3,5.3,5.2,5.3,5.3,5.3,5.1,5,4.9
kp,5.7,5.8,5.9,5.7,5.5,5.3,5.3,5.5,5.5,5.6,5.6,5.5,5.1
