Spol,Oznaka regije,Regija,stalez_2008,stalez_2009,stalez_2010,stalez_2011,stalez_2012,stalez_2013,stalez_2014,stalez_2015,stalez_2016,stalez_2017,stalez_2018,stalez_2019,stalez_2020
m,00,slo,13.1,13,12.9,12.6,13.2,12.6,11.4,12,11.8,12.4,13.2,14,14.2
m,01,ms,16.5,15.1,16.5,15.9,14,12.7,15,14.3,15.1,16.9,17.9,19,20.2
m,02,mb,14.3,14.3,13.7,14,17.5,15.4,13.1,12.8,13,11.8,14.6,15,14.3
m,03,sg,15.7,15,15.4,16.6,13.8,15.4,16.3,18.6,17.9,18.4,20.9,21.6,20.6
m,04,ce,14.5,14.6,16,14.8,16.3,15.8,13.9,14.8,13.9,14.5,15.5,16.4,16.8
m,05,za,18.4,17.7,14.6,15.2,13.1,12.1,11.5,13.5,14.7,14.2,14.2,13.3,14.7
m,06,kk,12,12.2,14,15.4,17.9,19.3,15.9,18.6,16.7,16.9,20.6,20.1,14.9
m,07,nm,13.8,14.3,14.5,14.6,12.8,12.9,12.3,12.5,12.6,13.3,13.4,14.5,14.9
m,08,lj,11.5,11.5,10.5,10,11.1,10.8,9.1,10,9.7,10.5,10.4,11.5,12.4
m,09,kr,12.4,11.6,11.5,11.1,10.2,10,9.3,9.9,10.3,12.2,12.4,13.4,13.3
m,10,po,15,14,15.3,14.4,11.8,12.3,12.5,11.9,11.8,14.1,13,16.2,13.4
m,11,ng,11.2,12.4,12.2,12,11.8,10.9,11,11,11.5,11.6,13.1,13.2,13.9
m,12,kp,13.5,12,12.7,13.3,13.5,11.4,10.6,10.4,9.9,12,12.6,12.7,13.4
