Spol,Oznaka regije,Regija,2008_stalez,2009_stalez,2010_stalez,2011_stalez,2012_stalez,2013_stalez,2014_stalez,2015_stalez,2016_stalez,2017_stalez,2018_stalez,2019_stalez,2020_stalez
f,00,slo,18.6,18.1,17.5,17.5,18.1,17.7,16.5,17.5,17.6,18.8,20.4,22.3,22.5
f,01,ms,21.5,21.1,18,17.8,13.3,14,16.7,15.9,17,19.2,21,24.3,27
f,02,mb,18,18.5,17.9,18.6,21.8,20.7,18.7,19.7,19.1,17.8,22.6,24.5,23.7
f,03,sg,21,19.7,18.7,20.6,15.9,16.6,19.5,21.3,21.9,27.8,27.4,29.5,26.7
f,04,ce,20,18.7,20.1,19,21.7,20.4,18.9,19.8,20.3,20.5,23,25.9,25
f,05,za,22.8,19.4,18.7,19.5,18,18,19.7,20.2,23,23.9,25.2,24.4,26.3
f,06,kk,15.8,16.4,17.2,17.9,21.4,21.2,20.2,21.2,21.3,21.4,25,27.8,22.2
f,07,nm,19.3,18.6,18.5,18.7,16.1,16.3,16.3,17.7,19,19.6,21.1,22.8,22.1
f,08,lj,17.8,17.4,15.8,15.8,17.6,17.2,14.9,16.3,15.9,17.6,17.8,19.2,20.9
f,09,kr,17.1,15.4,15.8,14.1,13.2,13,12.7,14.2,15.4,17.7,19.9,21.8,20.9
f,10,po,23.2,21.3,23.1,23.2,18,18.4,18.1,18.7,18.2,22,23.1,24.4,22.4
f,11,ng,15.5,17,16.6,17,16,14.7,15.2,16.4,16.7,18.1,18.4,20.8,21
f,12,kp,21.1,20.6,20.9,22.2,19.8,20.3,18.3,17.3,16.6,19.2,19.7,22.2,22.1
